Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Challenge/Removal,Ban Status,Initiating Action
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,Orange County Public Schools,February 2024,Banned,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,Santa Rosa County Schools,September 2023,Banned pending investigation,Formal Challenge
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,School District of Manatee County,November 2023,Banned,Formal Challenge
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Iowa,Urbandale Community School District,October 2023,Banned pending investigation,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Iowa,Waterloo Community School District,June 2024,Banned pending investigation,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,North Carolina,Burke County Public Schools,December 2023,Banned,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Texas,Fort Bend Independent School District,April 2024,Banned,"Formal Challenge, Administration"
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater","Acito, Marc",,,,Edward Zanni,Florida,Clay County School District,July 2023,Banned,Formal Challenge
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater","Acito, Marc",,,,Edward Zanni,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Things You Shouldn't Say Past Midnight: A Comedy in Three Beds,"Ackerman, Peter",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Life, the Universe and Everything","Adams, Douglas",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Mostly Harmless,"Adams, Douglas",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
So Long and Thanks for All the Fish,"Adams, Douglas",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Hitchhiker's Guide to the Galaxy,"Adams, Douglas",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Restaurant at the End of the Universe,"Adams, Douglas",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Tales From Watership Down,"Adams, Richard",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie","Adams, S.J.",,,,,Florida,Clay County School District,November 2023,Banned,Formal Challenge
Children of Blood and Bone,"Adeyemi, Tomi",,,,Legacy of Orïsha,Florida,Escambia County Public Schools,November 2023,Banned by restriction,Administration
Children of Virtue and Vengeance,"Adeyemi, Tomi",,,,Legacy of Orïsha,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Americanah,"Adichie, Chimamanda Ngozi",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Lee County Schools,September 2023,Banned,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Polk County Public Schools,April 2024,Banned,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,St. John's County School District,February 2024,Banned pending investigation,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Maryland,Caroll County School District,August 2023,Banned pending investigation,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Conroe Independent School District,November 2023,Banned,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Plano Independent School District,October 2023,Banned,Informal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
Cool for the Summer,"Adler, Dahlia",,,,,Texas,Conroe Independent School District,October 2023,Banned,Informal Challenge
His Hideous Heart: Thirteen of Edgar Allan Poe's Most Unsettling Tales Reimagined,"Adler, Dahlia",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Picture Book of Anne Frank,"Adler, David A.",,"Ritz, Karen",,,Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Names Will Never Hurt Me,"Adoff, Jaime",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Death of Jayson Porter,"Adoff, Jaime",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ghost House,"Adornetto, Alexandra",,,,Ghost House,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hades,"Adornetto, Alexandra",,,,Halo Trilogy,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Halo,"Adornetto, Alexandra",,,,Halo Trilogy,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Heaven,"Adornetto, Alexandra",,,,Halo Trilogy,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Prometheus Bound,Aeschylus,,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Accidental Adventures of India McAllister,"Agell, Charlotte",,,,,Texas,North East Independent School District,June 2024,Banned,Administration
Flame in the Mist,"Ahdieh, Renée",,,,Flame in the Mist,Florida,Collier County Public Schools,October 2023,Banned,Administration
Flame in the Mist,"Ahdieh, Renée",,,,Flame in the Mist,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Smoke in the Sun,"Ahdieh, Renée",,,,Flame in the Mist,Florida,Clay County School District,February 2024,Banned,Formal Challenge
Smoke in the Sun,"Ahdieh, Renée",,,,Flame in the Mist,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Beautiful,"Ahdieh, Renée",,,,The Beautiful,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Damned,"Ahdieh, Renée",,,,The Beautiful,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rose and the Dagger,"Ahdieh, Renée",,,,The Wrath and The Dawn,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Wrath and The Dawn,"Ahdieh, Renée",,,,The Wrath and The Dawn,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Girl Gone Viral,"Ahmadi, Arvin",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
How It All Blew Up,"Ahmadi, Arvin",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
How It All Blew Up,"Ahmadi, Arvin",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration
A Cave in the Clouds: A Young Woman's Escape from Isis,"Ahmed, Badeeah Hassan","McClelland, Susan Elizabeth",,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Internment,"Ahmed, Samira",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
"Mad, Bad and Dangerous to Know","Ahmed, Samira",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sing No Evil,"Ahonen, J.P.","Alare, K.P.",,,Sing No Evil,Wyoming,Natrona County Schools,September 2023,Banned by restriction,Administration
Changes: A Love Story,"Aidoo, Ama Ata",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
River of Darkness,"Airth, Rennie",,,,John Madden Mysteries,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Say You're One of Them,"Akpan, Uwem",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Seven Deadly Shadows,"Alameda, Courtney",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shutter,"Alameda, Courtney",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hazel Wood: a novel,"Albert, Melissa",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Here's to Us,"Albertalli, Becky","Silvera, Adam",,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge
Here's to Us,"Albertalli, Becky","Silvera, Adam",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Kate in Waiting,"Albertalli, Becky",,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge
Leah on the Offbeat,"Albertalli, Becky",,,,Simonverse,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Leah on the Offbeat,"Albertalli, Becky",,,,Simonverse,Florida,Seminole County Public Schools,April 2024,Banned by restriction,Administration
Leah on the Offbeat,"Albertalli, Becky",,,,Simonverse,Oregon,Helix School District,November 2023,Banned by restriction,Formal Challenge
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Florida,Collier County Public Schools,August 2023,Banned,Formal Challenge
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Iowa,Muscatine Community School District,June 2024,Banned,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Iowa,Spencer Community School District,June 2024,Banned,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Oregon,Helix School District,November 2023,Banned by restriction,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Collier County Public Schools,August 2023,Banned by restriction,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Iowa,Woodward-Granger Community School District,June 2024,Banned,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Texas,Conroe Independent School District,October 2023,Banned,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
What If It's Us,"Albertalli, Becky","Silvera, Adam",,,What If It's Us,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
What If It's Us,"Albertalli, Becky","Silvera, Adam",,,What If It's Us,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
What If It's Us,"Albertalli, Becky","Silvera, Adam",,,What If It's Us,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Yes No Maybe So,"Albertalli, Becky","Saeed, Aisha",,,,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Yes No Maybe So,"Albertalli, Becky","Saeed, Aisha",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Altered,"Albin, Gennifer",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crewel,"Albin, Gennifer",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Unraveled,"Albin, Gennifer",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sofi Mendoza's Guide to Getting Lost in Mexico,"Alegría, Malín.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
As Dead As It Gets,"Alender, Katie",,,,Bad Girls Don't Die Series,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Bad Girls Don't Die,"Alender, Katie",,,,Bad Girls Don't Die Series,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
From Bad to Cursed,"Alender, Katie",,,,Bad Girls Don't Die Series,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Gift of the Unmage,"Alexander, Alma",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Catherine the Great: Life and Legend,"Alexander, John T.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Flying Lessons and Other Stories,"Alexander, Kwame",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Flying Lessons and Other Stories,"Alexander, Kwame",,,,,Iowa,Van Meter Community School District,June 2024,Banned,Administration
"He Said, She Said","Alexander, Kwame",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration
"He Said, She Said","Alexander, Kwame",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Solo,"Alexander, Kwame","Hess, Mary Rand",,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Swing,"Alexander, Kwame","Hess, Mary Rand",,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Reservation Blues,"Alexie, Sherman",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Flagler Schools,Fall 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Santa Rosa County Schools,October 2023,Banned pending investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Seminole County Public Schools,September 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,CAM Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Central Springs School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clarion-Goldfield-Dows Community School District,June 2024,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Denver Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Keota Community School District,October 2023,Banned,Administration
